"","year","patch","age","numbers","biomass","ssb","numbers_caught","profits","effort","f","mpa","cell_no","juve_ad_hab","hab_qual","price","cost","ssb_at_age","weight_at_age","patch_age_costs","biomass_caught"
"37",2,3,6,242.037350847324,122.086512028271,122.086512028271,NA,NA,0,0,FALSE,676,0,0.05,14500,50,0.50441186701503,0.50441186701503,0,NA
"38",2,3,7,186.135188044891,122.033873663579,122.033873663579,NA,NA,0,0,FALSE,676,0,0.05,14500,50,0.655619579217595,0.655619579217595,0,NA
"39",2,3,8,143.144469674689,115.806353099481,115.806353099481,NA,NA,0,0,FALSE,676,0,0.05,14500,50,0.809017305123022,0.809017305123022,0,NA
"40",2,3,9,110.083103649947,105.703014917196,105.703014917196,NA,NA,0,0,FALSE,676,0,0.05,14500,50,0.960211071567537,0.960211071567537,0,NA
"41",2,3,10,84.6577568574251,93.6313084428554,93.6313084428554,NA,NA,0,0,FALSE,676,0,0.05,14500,50,1.10599798433761,1.10599798433761,0,NA
"42",2,3,11,65.1047759238425,81.0024936086392,81.0024936086392,NA,NA,0,0,FALSE,676,0,0.05,14500,50,1.24418665849328,1.24418665849328,0,NA
"43",2,3,12,50.0678497214633,68.7633712241539,68.7633712241539,NA,NA,0,0,FALSE,676,0,0.05,14500,50,1.37340372328145,1.37340372328145,0,NA
"44",2,3,13,38.5039275561503,57.4829974230293,57.4829974230293,NA,NA,0,0,FALSE,676,0,0.05,14500,50,1.49291256948273,1.49291256948273,0,NA
"45",2,3,14,128.204982362846,205.442793634765,205.442793634765,NA,NA,0,0,FALSE,676,0,0.05,14500,50,1.60245561325628,1.60245561325628,0,NA
"46",2,4,0,0,0,0,NA,NA,0,0,FALSE,679,0,0.05,14500,50,1.0399570668672e-56,1.46946568394243e-05,0,NA
"47",2,4,1,0,0,0,NA,NA,0,0,FALSE,679,0,0.05,14500,50,4.35052955424274e-41,0.0100265183242842,0,NA
"48",2,4,2,0,0,0,NA,NA,0,0,FALSE,679,0,0.05,14500,50,1.35634991016692e-27,0.0509851571223298,0,NA
"49",2,4,3,0,0,0,NA,NA,0,0,FALSE,679,0,0.05,14500,50,2.06713041586366e-14,0.126737135431792,0,NA
"50",2,4,4,0,0,0,NA,NA,0,0,FALSE,679,0,0.05,14500,50,0.116302912638089,0.232605825276177,0,NA
"51",2,4,5,147.578533166761,53.2894098137987,53.28940981379,NA,NA,0,0,FALSE,679,0,0.05,14500,50,0.361091878813932,0.361091878813991,0,NA
"52",2,4,6,236.863401383369,119.476710519316,119.476710519316,NA,NA,0,0,FALSE,679,0,0.05,14500,50,0.50441186701503,0.50441186701503,0,NA
"53",2,4,7,182.156239948506,119.425197386899,119.425197386899,NA,NA,0,0,FALSE,679,0,0.05,14500,50,0.655619579217595,0.655619579217595,0,NA
"54",2,4,8,140.084519425074,113.330800394727,113.330800394727,NA,NA,0,0,FALSE,679,0,0.05,14500,50,0.809017305123022,0.809017305123022,0,NA
"55",2,4,9,107.729894886397,103.443437808726,103.443437808726,NA,NA,0,0,FALSE,679,0,0.05,14500,50,0.960211071567537,0.960211071567537,0,NA
"56",2,4,10,82.848057014906,91.6297840647732,91.6297840647732,NA,NA,0,0,FALSE,679,0,0.05,14500,50,1.10599798433761,1.10599798433761,0,NA
"57",2,4,11,63.7130534507909,79.2709310753431,79.2709310753431,NA,NA,0,0,FALSE,679,0,0.05,14500,50,1.24418665849328,1.24418665849328,0,NA
"58",2,4,12,48.9975664642681,67.2934402137563,67.2934402137563,NA,NA,0,0,FALSE,679,0,0.05,14500,50,1.37340372328145,1.37340372328145,0,NA
"59",2,4,13,37.680842298268,56.2542030957809,56.2542030957809,NA,NA,0,0,FALSE,679,0,0.05,14500,50,1.49291256948273,1.49291256948273,0,NA
"60",2,4,14,125.464388411332,201.051113473505,201.051113473505,NA,NA,0,0,FALSE,679,0,0.05,14500,50,1.60245561325628,1.60245561325628,0,NA
"61",2,5,0,0,0,0,NA,NA,0,0,FALSE,741,0,0.05,14500,50,1.0399570668672e-56,1.46946568394243e-05,0,NA
"62",2,5,1,0,0,0,NA,NA,0,0,FALSE,741,0,0.05,14500,50,4.35052955424274e-41,0.0100265183242842,0,NA
"63",2,5,2,0,0,0,NA,NA,0,0,FALSE,741,0,0.05,14500,50,1.35634991016692e-27,0.0509851571223298,0,NA
"64",2,5,3,0,0,0,NA,NA,0,0,FALSE,741,0,0.05,14500,50,2.06713041586366e-14,0.126737135431792,0,NA
"65",2,5,4,0,0,0,NA,NA,0,0,FALSE,741,0,0.05,14500,50,0.116302912638089,0.232605825276177,0,NA
"66",2,5,5,147.578533166761,53.2894098137987,53.28940981379,NA,NA,0,0,FALSE,741,0,0.05,14500,50,0.361091878813932,0.361091878813991,0,NA
"67",2,5,6,241.476912663637,121.80382035769,121.80382035769,NA,NA,0,0,FALSE,741,0,0.05,14500,50,0.50441186701503,0.50441186701503,0,NA
"68",2,5,7,185.70419148034,121.751303877284,121.751303877284,NA,NA,0,0,FALSE,741,0,0.05,14500,50,0.655619579217595,0.655619579217595,0,NA
"69",2,5,8,142.813018242468,115.538203155006,115.538203155006,NA,NA,0,0,FALSE,741,0,0.05,14500,50,0.809017305123022,0.809017305123022,0,NA
"70",2,5,9,109.828205906072,105.45825928141,105.45825928141,NA,NA,0,0,FALSE,741,0,0.05,14500,50,0.960211071567537,0.960211071567537,0,NA
"71",2,5,10,84.4617315773509,93.4145048782141,93.4145048782141,NA,NA,0,0,FALSE,741,0,0.05,14500,50,1.10599798433761,1.10599798433761,0,NA
"72",2,5,11,64.9540256274918,80.8149321011558,80.8149321011558,NA,NA,0,0,FALSE,741,0,0.05,14500,50,1.24418665849328,1.24418665849328,0,NA
"73",2,5,12,49.9519174710861,68.6041494398376,68.6041494398376,NA,NA,0,0,FALSE,741,0,0.05,14500,50,1.37340372328145,1.37340372328145,0,NA
"74",2,5,13,38.4147716008861,57.3498953767711,57.3498953767711,NA,NA,0,0,FALSE,741,0,0.05,14500,50,1.49291256948273,1.49291256948273,0,NA
"75",2,5,14,127.908123356566,204.967090253806,204.967090253806,NA,NA,0,0,FALSE,741,0,0.05,14500,50,1.60245561325628,1.60245561325628,0,NA
"76",2,6,0,0,0,0,NA,NA,0,0,FALSE,742,0,0.05,14500,50,1.0399570668672e-56,1.46946568394243e-05,0,NA
"77",2,6,1,0,0,0,NA,NA,0,0,FALSE,742,0,0.05,14500,50,4.35052955424274e-41,0.0100265183242842,0,NA
"78",2,6,2,0,0,0,NA,NA,0,0,FALSE,742,0,0.05,14500,50,1.35634991016692e-27,0.0509851571223298,0,NA
"79",2,6,3,0,0,0,NA,NA,0,0,FALSE,742,0,0.05,14500,50,2.06713041586366e-14,0.126737135431792,0,NA
"80",2,6,4,0,0,0,NA,NA,0,0,FALSE,742,0,0.05,14500,50,0.116302912638089,0.232605825276177,0,NA
"81",2,6,5,147.578533166761,53.2894098137987,53.28940981379,NA,NA,0,0,FALSE,742,0,0.05,14500,50,0.361091878813932,0.361091878813991,0,NA
"82",2,6,6,239.986171437824,121.051872792742,121.051872792742,NA,NA,0,0,FALSE,742,0,0.05,14500,50,0.50441186701503,0.50441186701503,0,NA
"83",2,6,7,184.557759339096,120.99968051924,120.99968051924,NA,NA,0,0,FALSE,742,0,0.05,14500,50,0.655619579217595,0.655619579217595,0,NA
"84",2,6,8,141.931371829449,114.824935949875,114.824935949875,NA,NA,0,0,FALSE,742,0,0.05,14500,50,0.809017305123022,0.809017305123022,0,NA
"85",2,6,9,109.150188978925,104.807219921253,104.807219921253,NA,NA,0,0,FALSE,742,0,0.05,14500,50,0.960211071567537,0.960211071567537,0,NA
"86",2,6,10,83.9403128467692,92.8378168131949,92.8378168131949,NA,NA,0,0,FALSE,742,0,0.05,14500,50,1.10599798433761,1.10599798433761,0,NA
"87",2,6,11,64.5530363870825,80.3160266380391,80.3160266380391,NA,NA,0,0,FALSE,742,0,0.05,14500,50,1.24418665849328,1.24418665849328,0,NA
"88",2,6,12,49.6435427206343,68.180626409401,68.180626409401,NA,NA,0,0,FALSE,742,0,0.05,14500,50,1.37340372328145,1.37340372328145,0,NA
"89",2,6,13,38.1776206323984,56.9958497150508,56.9958497150508,NA,NA,0,0,FALSE,742,0,0.05,14500,50,1.49291256948273,1.49291256948273,0,NA
"90",2,6,14,127.11849129402,203.701739922771,203.701739922771,NA,NA,0,0,FALSE,742,0,0.05,14500,50,1.60245561325628,1.60245561325628,0,NA
"91",2,7,0,0,0,0,NA,NA,0,0,FALSE,753,0,0.05,14500,50,1.0399570668672e-56,1.46946568394243e-05,0,NA
"92",2,7,1,0,0,0,NA,NA,0,0,FALSE,753,0,0.05,14500,50,4.35052955424274e-41,0.0100265183242842,0,NA
"93",2,7,2,0,0,0,NA,NA,0,0,FALSE,753,0,0.05,14500,50,1.35634991016692e-27,0.0509851571223298,0,NA
"94",2,7,3,0,0,0,NA,NA,0,0,FALSE,753,0,0.05,14500,50,2.06713041586366e-14,0.126737135431792,0,NA
"95",2,7,4,0,0,0,NA,NA,0,0,FALSE,753,0,0.05,14500,50,0.116302912638089,0.232605825276177,0,NA
"96",2,7,5,147.578533166761,53.2894098137987,53.28940981379,NA,NA,0,0,FALSE,753,0,0.05,14500,50,0.361091878813932,0.361091878813991,0,NA
"97",2,7,6,204.179604904856,102.99061571645,102.99061571645,NA,NA,0,0,FALSE,753,0,0.05,14500,50,0.50441186701503,0.50441186701503,0,NA
"98",2,7,7,157.02125734251,102.946210667114,102.946210667114,NA,NA,0,0,FALSE,753,0,0.05,14500,50,0.655619579217595,0.655619579217595,0,NA
"99",2,7,8,120.754838706401,97.6927541908179,97.6927541908179,NA,NA,0,0,FALSE,753,0,0.05,14500,50,0.809017305123022,0.809017305123022,0,NA
"100",2,7,9,92.8646943591969,89.1697076814363,89.1697076814363,NA,NA,0,0,FALSE,753,0,0.05,14500,50,0.960211071567537,0.960211071567537,0,NA
"101",2,7,10,71.4161978999017,78.9861709263469,78.9861709263469,NA,NA,0,0,FALSE,753,0,0.05,14500,50,1.10599798433761,1.10599798433761,0,NA
"102",2,7,11,54.9215539626962,68.3326647041053,68.3326647041053,NA,NA,0,0,FALSE,753,0,0.05,14500,50,1.24418665849328,1.24418665849328,0,NA
"103",2,7,12,42.2365958757026,58.0078980344241,58.0078980344241,NA,NA,0,0,FALSE,753,0,0.05,14500,50,1.37340372328145,1.37340372328145,0,NA
